--------------------------------------------------
-- Xero Detailed Dump Output (Sequential)
--------------------------------------------------
-- Game: ⚔️Build to Defend Loot
-- PlaceId: 96280251181127
-- JobId: c5acaac8-4187-4d97-876d-1c8c0430751f
-- Time: 2026-09-13 23:06:55
--------------------------------------------------
-- [Service]: Workspace
Workspace [Workspace] -- [Model] | FullPath: Workspace | Props: {PrimaryPart=None, ChildrenCount=25} | Attrs: {KM_IVF_GLOBAL_SAFE=0, 0, 0, KM_IVF_Y_AXIS_P=240, KM_IVF_X_AXIS_N=0, KM_IVF_Z_AXIS_P=0, KM_IVF_Z_AXIS_N=0, KM_IVF_Y_AXIS_N=-6, KM_IVF_X_AXIS_P=0}
 Camera [Camera] -- [Camera] | FullPath: Workspace.Camera | Attrs: {SHAKE_OFFSET=0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, SHAKE_SIZE=0}
  AudioListener [AudioListener] -- [AudioListener] | FullPath: Workspace.Camera.AudioListener
   Wire [Wire] -- [Wire] | FullPath: Workspace.Camera.AudioListener.Wire
  Folder [Folder] -- [Folder] | FullPath: Workspace.Camera.Folder
 CollectCoin [Sound] -- [Sound] | FullPath: Workspace.CollectCoin
 Gameplay [Folder] -- [Folder] | FullPath: Workspace.Gameplay
  ConveyorDestroyer [Part] -- [Part] | FullPath: Workspace.Gameplay.ConveyorDestroyer | Props: {Position=(-30.50, 0.50, 253.50), Size=(18.00, 16.00, 2.00), Anchored=true, CanCollide=false, Material=Plastic, Transparency=1.00, Reflectance=0}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-290.00, -15.00, -125.00), Size=(11.00, 1.00, 1.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(198.50, -15.00, 262.50), Size=(2.00, 1.00, 12.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-281.00, -16.00, 35.00), Size=(13.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(192.00, -16.00, 268.00), Size=(13.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(191.50, -15.00, 265.50), Size=(2.00, 1.00, 8.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-38.00, -15.00, 262.50), Size=(2.00, 1.00, 39.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-300.00, -16.00, -171.50), Size=(92.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-36.50, -16.00, 263.00), Size=(36.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(177.00, -16.00, -347.50), Size=(14.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(212.00, -16.00, -258.00), Size=(49.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(231.00, -16.00, -101.00), Size=(29.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-283.50, -15.00, -102.50), Size=(46.00, 1.00, 2.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-250.50, -16.00, 263.00), Size=(48.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-289.00, -16.00, 177.00), Size=(51.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(216.00, -16.00, 218.00), Size=(5.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(221.00, -15.00, -225.50), Size=(21.00, 1.00, 12.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(238.50, -16.00, -114.00), Size=(12.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-281.00, -16.00, 204.00), Size=(19.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-276.50, -15.00, 35.50), Size=(6.00, 1.00, 2.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(238.50, -16.00, -221.00), Size=(18.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-1.00, -16.00, 268.00), Size=(41.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(226.50, -16.00, -88.00), Size=(6.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(246.00, -16.00, -166.00), Size=(107.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(212.00, -16.00, 240.50), Size=(48.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-20.00, -16.00, 265.50), Size=(2.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(103.50, -16.00, 273.00), Size=(174.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-272.50, -15.00, 26.50), Size=(20.00, 1.00, 2.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(24.00, -15.00, 270.00), Size=(11.00, 1.00, 5.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(220.00, -16.00, -232.00), Size=(19.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-293.50, -16.00, 68.00), Size=(6.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(199.50, -15.00, -342.00), Size=(44.00, 1.00, 21.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-228.00, -16.00, 268.50), Size=(8.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(217.00, -16.00, -281.00), Size=(7.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-278.50, -16.00, -11.00), Size=(14.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-298.00, -16.00, 107.50), Size=(82.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(231.00, -16.00, -228.00), Size=(11.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-293.00, -15.00, 72.50), Size=(10.00, 1.00, 11.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-139.50, -15.00, 280.00), Size=(1.00, 1.00, 28.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-193.00, -16.00, 274.00), Size=(73.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(219.50, -15.00, 198.50), Size=(2.00, 1.00, 14.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-289.00, -16.00, 51.50), Size=(36.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(237.50, -15.00, -137.50), Size=(16.00, 1.00, 46.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(56.00, -16.00, -381.00), Size=(57.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-107.50, -16.00, 274.00), Size=(10.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-101.00, -16.00, 271.50), Size=(8.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(83.00, -16.00, -361.50), Size=(36.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-77.50, -16.00, 269.00), Size=(44.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-92.50, -15.00, 268.50), Size=(2.00, 1.00, 20.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(222.00, -16.00, -315.50), Size=(72.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(201.00, -16.00, -353.00), Size=(45.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-158.00, -16.00, 277.50), Size=(4.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(18.00, -16.00, 270.50), Size=(2.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-273.00, -16.00, 13.50), Size=(46.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(222.00, -16.00, -26.50), Size=(3.00, 1.00, 126.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(220.00, -16.00, 206.00), Size=(27.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-137.50, -16.00, 281.00), Size=(44.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(128.50, -16.00, -342.00), Size=(94.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(55.00, -15.00, -369.00), Size=(55.00, 1.00, 23.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-284.00, -16.00, -67.50), Size=(110.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-293.50, -16.00, 150.00), Size=(12.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
  Rocks [Folder] -- [Folder] | FullPath: Workspace.Map.Rocks
   SeaRock [Model] -- [Model] | FullPath: Workspace.Map.Rocks.SeaRock | Props: {PrimaryPart=None, ChildrenCount=14}
    Part [Part] -- [Part] | FullPath: Workspace.Map.Rocks.SeaRock.Part | Props: {Position=(45.30, -11.30, 350.20), Size=(23.40, 10.40, 15.60), Anchored=true, CanCollide=false, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
    Part [Part] -- [Part] | FullPath: Workspace.Map.Rocks.SeaRock.Part | Props: {Position=(40.10, -13.90, 346.30), Size=(15.60, 5.20, 20.80), Anchored=true, CanCollide=false, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
    Part [Part] -- [Part] | FullPath: Workspace.Map.Rocks.SeaRock.Part | Props: {Position=(38.80, -15.20, 361.90), Size=(7.80, 2.60, 5.20), Anchored=true, CanCollide=false, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
    Part [Part] -- [Part] | FullPath: Workspace.Map.Rocks.SeaRock.Part | Props: {Position=(46.60, -13.90, 330.70), Size=(10.40, 5.20, 13.00), Anchored=true, CanCollide=false, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
    Part [Part] -- [Part] | FullPath: Workspace.Map.Rocks.SeaRock.Part | Props: {Position=(51.80, -13.90, 364.50), Size=(10.40, 5.20, 13.00), Anchored=true, CanCollide=false, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
    Part [Part] -- [Part] | FullPath: Workspace.Map.Rocks.SeaRock.Part | Props: {Position=(51.80, -15.20, 367.10), Size=(18.20, 2.60, 10.40), Anchored=true, CanCollide=false, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
    Part [Part] -- [Part] | FullPath: Workspace.Map.Rocks.SeaRock.Part | Props: {Position=(34.90, -15.20, 346.30), Size=(10.40, 2.60, 26.00), Anchored=true, CanCollide=false, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
    Part [Part] -- [Part] | FullPath: Workspace.Map.Rocks.SeaRock.Part | Props: {Position=(64.80, -15.20, 360.60), Size=(7.80, 2.60, 13.00), Anchored=true, CanCollide=false, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
    Part [Part] -- [Part] | FullPath: Workspace.Map.Rocks.SeaRock.Part | Props: {Position=(67.40, -15.20, 342.40), Size=(13.00, 2.60, 23.40), Anchored=true, CanCollide=false, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
    Part [Part] -- [Part] | FullPath: Workspace.Map.Rocks.SeaRock.Part | Props: {Position=(59.60, -15.20, 329.40), Size=(7.80, 2.60, 2.60), Anchored=true, CanCollide=false, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
    Part [Part] -- [Part] | FullPath: Workspace.Map.Rocks.SeaRock.Part | Props: {Position=(53.10, -10.00, 339.80), Size=(15.60, 13.00, 18.20), Anchored=true, CanCollide=false, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
    Part [Part] -- [Part] | FullPath: Workspace.Map.Rocks.SeaRock.Part | Props: {Position=(46.60, -15.20, 328.10), Size=(18.20, 2.60, 10.40), Anchored=true, CanCollide=false, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
    Part [Part] -- [Part] | FullPath: Workspace.Map.Rocks.SeaRock.Part | Props: {Position=(59.60, -13.90, 342.40), Size=(5.20, 18.20, 23.40), Anchored=true, CanCollide=false, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
    Part [Part] -- [Part] | FullPath: Workspace.Map.Rocks.SeaRock.Part | Props: {Position=(57.00, -12.60, 355.40), Size=(7.80, 18.20, 18.20), Anchored=true, CanCollide=false, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   SeaRock [Model] -- [Model] | FullPath: Workspace.Map.Rocks.SeaRock | Props: {PrimaryPart=None, ChildrenCount=14}
    Part [Part] -- [Part] | FullPath: Workspace.Map.Rocks.SeaRock.Part | Props: {Position=(67.40, -15.20, 342.40), Size=(13.00, 2.60, 23.40), Anchored=true, CanCollide=false, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
    Part [Part] -- [Part] | FullPath: Workspace.Map.Rocks.SeaRock.Part | Props: {Position=(59.60, -13.90, 342.40), Size=(5.20, 18.20, 23.40), Anchored=true, CanCollide=false, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
    Part [Part] -- [Part] | FullPath: Workspace.Map.Rocks.SeaRock.Part | Props: {Position=(53.10, -10.00, 339.80), Size=(15.60, 13.00, 18.20), Anchored=true, CanCollide=false, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
    Part [Part] -- [Part] | FullPath: Workspace.Map.Rocks.SeaRock.Part | Props: {Position=(46.60, -15.20, 328.10), Size=(18.20, 2.60, 10.40), Anchored=true, CanCollide=false, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
    Part [Part] -- [Part] | FullPath: Workspace.Map.Rocks.SeaRock.Part | Props: {Position=(38.80, -15.20, 361.90), Size=(7.80, 2.60, 5.20), Anchored=true, CanCollide=false, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
    Part [Part] -- [Part] | FullPath: Workspace.Map.Rocks.SeaRock.Part | Props: {Position=(34.90, -15.20, 346.30), Size=(10.40, 2.60, 26.00), Anchored=true, CanCollide=false, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
    Part [Part] -- [Part] | FullPath: Workspace.Map.Rocks.SeaRock.Part | Props: {Position=(64.80, -15.20, 360.60), Size=(7.80, 2.60, 13.00), Anchored=true, CanCollide=false, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
    Part [Part] -- [Part] | FullPath: Workspace.Map.Rocks.SeaRock.Part | Props: {Position=(45.30, -11.30, 350.20), Size=(23.40, 10.40, 15.60), Anchored=true, CanCollide=false, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
    Part [Part] -- [Part] | FullPath: Workspace.Map.Rocks.SeaRock.Part | Props: {Position=(51.80, -13.90, 364.50), Size=(10.40, 5.20, 13.00), Anchored=true, CanCollide=false, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
